Customer ID,origins,destinations
1,"40.717813,-73.26572","40.717813,-73.26572"
2,"40.717813,-73.26572","40.729096,-73.265498"
3,"40.717813,-73.26572","40.710915,-73.255459"
4,"40.717813,-73.26572","40.726239,-73.271211"
5,"40.717813,-73.26572","40.728523,-73.264099"
6,"40.717813,-73.26572","40.723044,-73.261396"
7,"40.717813,-73.26572","40.722121,-73.261863"
8,"40.717813,-73.26572","40.72976,-73.263308"
9,"40.717813,-73.26572","40.71269,-73.259093"
10,"40.717813,-73.26572","40.761438,-73.213124"
11,"40.717813,-73.26572","40.757599,-73.212008"
12,"40.717813,-73.26572","40.75917,-73.220675"
13,"40.717813,-73.26572","40.757722,-73.222719"
14,"40.717813,-73.26572","40.797541,-73.251704"
15,"40.717813,-73.26572","40.792865,-73.247154"
16,"40.717813,-73.26572","40.802537,-73.25931"
17,"40.717813,-73.26572","40.779191,-73.271201"
18,"40.717813,-73.26572","40.762499,-73.242091"
19,"40.717813,-73.26572","40.770902,-73.068619"
20,"40.717813,-73.26572","40.780397,-73.14201"
21,"40.717813,-73.26572","40.77048,-73.090446"
22,"40.717813,-73.26572","40.760223,-73.101673"
23,"40.717813,-73.26572","40.75149,-73.109407"
24,"40.717813,-73.26572","40.75956,-73.115518"
25,"40.717813,-73.26572","40.76801,-73.108536"
26,"40.717813,-73.26572","40.756649,-73.128869"
27,"40.717813,-73.26572","40.760255,-73.109651"
28,"40.717813,-73.26572","40.764478,-73.037521"
29,"40.717813,-73.26572","40.748152,-73.022929"
30,"40.717813,-73.26572","40.737672,-73.040034"
31,"40.717813,-73.26572","40.738368,-73.040662"
32,"40.717813,-73.26572","40.746215,-73.040969"
33,"40.717813,-73.26572","40.758066,-73.030955"
34,"40.717813,-73.26572","40.751992,-73.034939"
35,"40.717813,-73.26572","40.755896,-73.040668"
36,"40.717813,-73.26572","40.748152,-73.022929"
37,"40.717813,-73.26572","40.7308,-73.481184"
38,"40.717813,-73.26572","40.752649,-73.486563"
39,"40.717813,-73.26572","40.766091,-73.499887"
40,"40.717813,-73.26572","40.759234,-73.482446"
41,"40.717813,-73.26572","40.737944,-73.483159"
42,"40.717813,-73.26572","40.741314,-73.486012"
43,"40.717813,-73.26572","40.751973,-73.486628"
44,"40.717813,-73.26572","40.734832,-73.47807"
45,"40.717813,-73.26572","40.752536,-73.480586"
46,"40.717813,-73.26572","40.762978,-72.950075"
47,"40.717813,-73.26572","40.757944,-72.934189"
48,"40.717813,-73.26572","40.78258,-72.941764"
49,"40.717813,-73.26572","40.776474,-72.944977"
50,"40.717813,-73.26572","40.759037,-72.948293"
51,"40.717813,-73.26572","40.774638,-72.946096"
52,"40.717813,-73.26572","40.782895,-72.948645"
53,"40.717813,-73.26572","40.779748,-72.946334"
54,"40.717813,-73.26572","40.763906,-72.948829"
55,"40.717813,-73.26572","40.753805,-73.262773"
56,"40.729096,-73.265498","40.717813,-73.26572"
57,"40.729096,-73.265498","40.729096,-73.265498"
58,"40.729096,-73.265498","40.710915,-73.255459"
59,"40.729096,-73.265498","40.726239,-73.271211"
60,"40.729096,-73.265498","40.728523,-73.264099"
61,"40.729096,-73.265498","40.723044,-73.261396"
62,"40.729096,-73.265498","40.722121,-73.261863"
63,"40.729096,-73.265498","40.72976,-73.263308"
64,"40.729096,-73.265498","40.71269,-73.259093"
65,"40.729096,-73.265498","40.761438,-73.213124"
66,"40.729096,-73.265498","40.757599,-73.212008"
67,"40.729096,-73.265498","40.75917,-73.220675"
68,"40.729096,-73.265498","40.757722,-73.222719"
69,"40.729096,-73.265498","40.797541,-73.251704"
70,"40.729096,-73.265498","40.792865,-73.247154"
71,"40.729096,-73.265498","40.802537,-73.25931"
72,"40.729096,-73.265498","40.779191,-73.271201"
73,"40.729096,-73.265498","40.762499,-73.242091"
74,"40.729096,-73.265498","40.770902,-73.068619"
75,"40.729096,-73.265498","40.780397,-73.14201"
